Wall time,Step,Value
1719324500.320685,100,2.2993969917297363
1719324500.5984197,200,2.301431894302368
1719324500.8628552,300,2.293949842453003
1719324501.1268241,400,2.2878942489624023
1719324501.3944778,500,2.279895067214966
1719324501.6693451,600,2.2581381797790527
1719324501.9274418,700,2.2238948345184326
1719324502.1938365,800,2.180253744125366
1719324503.2226985,900,2.016369104385376
1719324503.496693,1000,2.006707191467285
1719324503.768082,1100,2.0300590991973877
1719324504.0529296,1200,1.9548522233963013
1719324504.338479,1300,1.9876588582992554
1719324504.6305556,1400,1.907701015472412
1719324504.9165654,1500,1.8070971965789795
1719324505.2004783,1600,1.8632420301437378
1719324506.204784,1700,1.844947338104248
1719324506.504341,1800,1.7458149194717407
1719324506.7566917,1900,1.8645211458206177
1719324507.013794,2000,1.7206889390945435
1719324507.2570696,2100,1.7405908107757568
1719324507.5033762,2200,1.6863857507705688
1719324507.7656443,2300,1.7455335855484009
1719324508.0208185,2400,1.754489541053772
1719324508.9351752,2500,1.689875841140747
1719324509.1963623,2600,1.820459008216858
1719324509.4588375,2700,1.76161527633667
1719324509.714646,2800,1.7559080123901367
1719324509.9670498,2900,1.715221643447876
1719324510.2213726,3000,1.7820101976394653
1719324510.4748495,3100,1.6962910890579224
1719324510.7215981,3200,1.6801918745040894
1719324511.6645615,3300,1.6903196573257446
1719324511.9112983,3400,1.6960384845733643
1719324512.1793141,3500,1.7336689233779907
1719324512.423449,3600,1.7351728677749634
1719324512.684374,3700,1.668514609336853
1719324512.935087,3800,1.720175862312317
1719324513.187997,3900,1.7009483575820923
1719324513.446397,4000,1.673205852508545
1719324514.372753,4100,1.74105966091156
1719324514.6340916,4200,1.7403206825256348
1719324514.8936555,4300,1.7030051946640015
1719324515.1791296,4400,1.6691564321517944
1719324515.426289,4500,1.7118782997131348
1719324515.687786,4600,1.614351749420166
1719324515.945105,4700,1.731394648551941
1719324516.1919491,4800,1.68484365940094
1719324517.2096832,4900,1.6252177953720093
1719324517.4607794,5000,1.720069169998169
1719324517.7211404,5100,1.704244613647461
1719324517.973725,5200,1.7351582050323486
1719324518.2281797,5300,1.7293016910552979
1719324518.4829726,5400,1.7243263721466064
1719324518.743941,5500,1.7391681671142578
1719324518.9959722,5600,1.7114229202270508
1719324519.9196599,5700,1.6666319370269775
1719324520.1695738,5800,1.6876095533370972
