Wall time,Step,Value
1719326243.743711,800,0.10125000029802322
1719326247.341588,1600,0.15625
1719326250.5630715,2400,0.34375
1719326253.9342055,3200,0.4412499964237213
1719326257.1416013,4000,0.6112499833106995
1719326260.4061105,4800,0.7237499952316284
1719326263.7229679,5600,0.7712500095367432
1719326267.097781,6400,0.8137500286102295
1719326270.6784837,7200,0.8337500095367432
1719326274.294964,8000,0.8262500166893005
1719326277.9433575,8800,0.8537499904632568
1719326281.326342,9600,0.8500000238418579
1719326284.798048,10400,0.8675000071525574
1719326288.312055,11200,0.8675000071525574
1719326291.9851558,12000,0.8712499737739563
1719326295.5030997,12800,0.8787500262260437
1719326299.055504,13600,0.8675000071525574
1719326302.742042,14400,0.8762500286102295
1719326306.2668872,15200,0.8787500262260437
1719326309.831215,16000,0.8837500214576721
