Wall time,Step,Value
1719326242.2740648,100,2.302081346511841
1719326242.4959269,200,2.3017561435699463
1719326242.7183006,300,2.302798271179199
1719326242.9217565,400,2.303367853164673
1719326243.1321926,500,2.3021340370178223
1719326243.3382187,600,2.302173614501953
1719326243.5422196,700,2.3029348850250244
1719326243.743711,800,2.300278425216675
1719326245.8935761,900,2.301054000854492
1719326246.0970528,1000,2.3004281520843506
1719326246.3022943,1100,2.300899028778076
1719326246.507504,1200,2.2999744415283203
1719326246.7089937,1300,2.3004980087280273
1719326246.926351,1400,2.2994558811187744
1719326247.1388113,1500,2.299164056777954
1719326247.3405886,1600,2.2983367443084717
1719326249.0978081,1700,2.2965199947357178
1719326249.3202412,1800,2.298070192337036
1719326249.5293958,1900,2.294349193572998
1719326249.7338736,2000,2.290867805480957
1719326249.9378905,2100,2.2924418449401855
1719326250.1461422,2200,2.286834716796875
1719326250.3506405,2300,2.2794089317321777
1719326250.5630715,2400,2.273972749710083
1719326252.4411001,2500,2.251779794692993
1719326252.651535,2600,2.207709550857544
1719326252.8816438,2700,2.0793232917785645
1719326253.0871215,2800,2.1358554363250732
1719326253.291342,2900,1.9420205354690552
1719326253.5053532,3000,1.9667431116104126
1719326253.7277572,3100,1.9261482954025269
1719326253.9342055,3200,1.9612133502960205
1719326255.68084,3300,1.9388494491577148
1719326255.9062371,3400,1.8960517644882202
1719326256.1136813,3500,1.944783329963684
1719326256.3193326,3600,1.795745849609375
1719326256.5238085,3700,1.8989816904067993
1719326256.7307007,3800,1.7910114526748657
1719326256.9351552,3900,1.7325600385665894
1719326257.1416013,4000,1.8077330589294434
1719326258.9342892,4100,1.8934344053268433
1719326259.1507094,4200,1.745089054107666
1719326259.3556428,4300,1.743384599685669
1719326259.559387,4400,1.668569803237915
1719326259.7638972,4500,1.6975313425064087
1719326259.9703965,4600,1.7117607593536377
1719326260.1881523,4700,1.7033936977386475
1719326260.405113,4800,1.7791001796722412
1719326262.2609909,4900,1.7068344354629517
1719326262.4855554,5000,1.7346047163009644
1719326262.694006,5100,1.7162407636642456
1719326262.9024906,5200,1.6841262578964233
1719326263.1079133,5300,1.6298679113388062
1719326263.3137715,5400,1.76487398147583
1719326263.5172613,5500,1.7186881303787231
1719326263.7229679,5600,1.6374106407165527
1719326265.4761326,5700,1.6708087921142578
1719326265.6935503,5800,1.6499148607254028
1719326265.9069793,5900,1.5733178853988647
1719326266.1243987,6000,1.6649518013000488
1719326266.345819,6100,1.6384261846542358
1719326266.5642507,6200,1.6618441343307495
1719326266.8156366,6300,1.6691551208496094
1719326267.097781,6400,1.6621013879776
1719326269.1125488,6500,1.664903998374939
1719326269.33994,6600,1.6246106624603271
1719326269.5668945,6700,1.6102451086044312
1719326269.7883093,6800,1.5950661897659302
